"output_event","TG_NAME1","TG_NAME2","TG_NAME3","CHEMICAL_NAME","FORMULATION_ID","output_file","source_file","source_note"
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Benazepril",279401,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Benazepril",279402,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Benazepril",279403,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","Angiotensin II Antagonists","Candesartan cilexetil",125401,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","Angiotensin II Antagonists","Candesartan cilexetil",125402,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","Angiotensin II Antagonists","Candesartan cilexetil",125403,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","Angiotensin II Antagonists","Candesartan cilexetil",125425,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Captopril",284101,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Captopril",284102,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Captopril",284103,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Captopril",284106,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Captopril",284107,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors with Diuretics","Captopril with hydrochlorothiazide",284001,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors with Diuretics","Captopril with hydrochlorothiazide",284002,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Cilazapril",277001,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Cilazapril",277002,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Cilazapril",277003,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors with Diuretics","Cilazapril with hydrochlorothiazide",112701,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Enalapril maleate",271101,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Enalapril maleate",271102,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Enalapril maleate",271103,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors with Diuretics","Enalapril maleate with hydrochlorothiazide",270804,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Lisinopril",279701,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Lisinopril",279702,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors","Lisinopril",279703,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","ACE Inhibitors with Diuretics","Lisinopril with hydrochlorothiazide",279501,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","Angiotensin II Antagonists","Losartan",106105,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
"Agents Affecting the Renin-Angiotensin System","Cardiovascular System","Agents Affecting the Renin-Angiotensin System","Angiotensin II Antagonists","Losartan potassium",106101,"Agents Affecting the Renin-Angiotensin System.qs","Code/00_inputs/canonical_drug_formulations.csv","Pharmaceutical formulation included in canonical event definition."
