"EVENT","CODE","CODETYPE","DESCRIPTION","output_event","source_file","source_note"
"age_related_hearing_loss","H910","ICD10","","age_related_hearing_loss","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"age_related_hearing_loss","H911","ICD10","","age_related_hearing_loss","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"age_related_hearing_loss","H912","ICD10","","age_related_hearing_loss","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"age_related_hearing_loss","H913","ICD10","","age_related_hearing_loss","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"age_related_hearing_loss","H918","ICD10","","age_related_hearing_loss","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"age_related_hearing_loss","H919","ICD10","","age_related_hearing_loss","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F100","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F101","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F102","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F103","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F104","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F105","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F106","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F107","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F108","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alcohol","F109","ICD10","","alcohol","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","F000","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","F001","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","F002","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","F009","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","G301","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","G308","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"alzheimers","G309","ICD10","","alzheimers","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"anxiety","F410","ICD10","","anxiety","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
"anxiety","F4100","ICD10","","anxiety","Code/00_inputs/canonical_icd_codes.csv","Hospital diagnosis code included in canonical event definition."
